match,league,home_odd,home_book,draw_odd,draw_book,away_odd,away_book,stake_home,stake_draw,stake_away,guaranteed_profit,profit_pct
Gimhae vs Seoul E.,Unknown,5.05,premierbet,4.1,fortebet,1.61,fortebet,18627.69,22943.86,58428.46,-5930.18,-6.3
San Martin S.J. vs Chacarita,Unknown,1.67,fortebet,3.35,fortebet,6.0,fortebet,56279.66,28055.83,15664.51,-6012.96,-6.4
Ekenas vs PK 35,Unknown,3.2,fortebet,3.15,fortebet,2.3,fortebet,29349.81,29815.68,40834.51,-6080.62,-6.47
New Mexico United - Atlante FC,Club Friendly Games,5.58,betpawa,4.85,betpawa,1.47,betika,16816.8,19347.99,63835.21,-6162.25,-6.57
PPJ vs Kiffen,Unknown,2.14,fortebet,4.05,premierbet,2.84,premierbet,43822.82,23155.76,33021.42,-6219.17,-6.63
Indy Eleven vs Charleston,Unknown,2.76,fortebet,3.71,premierbet,2.3,fortebet,33968.14,25270.1,40761.77,-6247.94,-6.66
Croatia U19 - Italy U19 (n),U19 European Championship,3.01,betpawa,3.35,betpawa,2.28,betpawa,31068.61,27915.38,41016.01,-6483.49,-6.93
Akranes vs Breidablik,Unknown,2.43,fortebet,4.2,premierbet,2.38,premierbet,38467.75,22256.34,39275.9,-6523.36,-6.98
Hafnarfjordur vs Stjarnan ,Unknown,2.33,premierbet,4.09,premierbet,2.52,premierbet,40091.64,22839.49,37068.86,-6586.47,-7.05
New Mexico vs Oakland,Unknown,2.57,fortebet,3.51,premierbet,2.52,fortebet,36336.75,26605.54,37057.71,-6614.56,-7.08
Thor Akureyri - KR Reykjavik,Besta deild,6.91,betpawa,6.6,fortebet,1.29,betpawa,13507.02,14141.44,72351.54,-6666.51,-7.14
Minneapolis City SC - St. Croix SC,USL League Two,1.14,betika,8.78,betpawa,12.41,betpawa,81853.02,10627.84,7519.13,-6687.55,-7.17
Nomme Utd vs Kalju,Unknown,5.4,premierbet,4.35,premierbet,1.52,fortebet,17259.2,21425.22,61315.58,-6800.31,-7.3
Caldense vs Patrocinense,Unknown,2.18,premierbet,2.82,premierbet,3.85,fortebet,42748.13,33046.43,24205.44,-6809.07,-7.31
Cobresal vs La Serena,Unknown,2.12,premierbet,3.3,fortebet,3.35,betika,43951.02,28235.2,27813.78,-6823.84,-7.32
Huachipato vs D. Concepcion,Unknown,2.16,premierbet,3.19,premierbet,3.35,fortebet,43068.32,29162.25,27769.43,-6972.42,-7.5
Boston City FC - Seacoast United Phantoms,USL League Two,6.48,betpawa,5.53,betpawa,1.35,betika,14343.52,16807.59,68848.89,-7054.0,-7.59
Ristozi FC - Grove Soccer United,National Premier Soccer League,1.25,betika,5.91,betpawa,9.34,betpawa,74330.71,15721.39,9947.9,-7086.61,-7.63
Loudoun vs Sporting Jax,Unknown,1.64,fortebet,4.14,premierbet,4.43,premierbet,56614.29,22426.92,20958.79,-7152.56,-7.7
Bray vs Athlone,Unknown,1.7,premierbet,3.9,fortebet,4.3,fortebet,54607.62,23803.32,21589.06,-7167.05,-7.72
U. De Concepcion vs Nublense,Unknown,2.8,betika,3.2,fortebet,2.45,fortebet,33136.09,28994.08,37869.82,-7218.93,-7.78
Uberaba vs Boa,Unknown,2.58,premierbet,2.8,premierbet,3.0,fortebet,35952.75,33127.89,30919.36,-7241.91,-7.81
Kuressaare vs Flora,Unknown,7.65,premierbet,5.1,fortebet,1.33,premierbet,12118.45,18177.68,69703.87,-7293.85,-7.87
FC Miami City - Fort Lauderdale United FC,USL League Two,9.56,betpawa,5.74,betpawa,1.25,betika,9696.02,16148.78,74155.2,-7306.01,-7.88
Louisville vs Hartford,Unknown,1.6,fortebet,4.11,premierbet,4.75,premierbet,57932.85,22552.93,19514.22,-7307.45,-7.88
Cobresal vs Deportes La Serena,Chile Cup,2.06,22bet,3.37,betpawa,3.37,betpawa,44993.32,27503.34,27503.34,-7313.75,-7.89
U. De Chile vs U. La Calera,Unknown,1.51,fortebet,4.2,fortebet,5.6,betika,61381.07,22067.96,16550.97,-7314.58,-7.89
West Seattle Junction FC - Bigfoot FC,USL League Two,1.32,betika,5.7,betpawa,6.84,betpawa,70197.04,16256.16,13546.8,-7339.9,-7.92
Universidad de Concepcion vs Nublense,Chile Cup,2.79,betpawa,3.18,betpawa,2.46,betpawa,33205.99,29133.56,37660.45,-7355.29,-7.94
Pittsburgh vs Brooklyn ,Unknown,1.52,fortebet,4.19,premierbet,5.45,premierbet,60913.67,22097.56,16988.77,-7411.22,-8.0
Colorado Springs vs Phoenix,Unknown,1.75,fortebet,3.8,fortebet,4.07,premierbet,52896.01,24360.0,22743.98,-7431.98,-8.03
Davis Legacy - Academica SC,USL League Two,1.96,betika,3.81,premierbet,3.25,premierbet,47225.22,24294.34,28480.44,-7438.57,-8.04
Project 51O vs San Francisco City,USA. USL League Two,2.86,betpawa,3.95,22bet,2.09,betpawa,32336.59,23413.33,44250.08,-7517.34,-8.13
Charlottesville Blues - Bethesda SC,USL League Two,1.58,betika,4.19,betpawa,4.76,betpawa,58513.03,22064.58,19422.39,-7549.41,-8.17
